publicationNumber,applicationDate,publicationDate,priorityCountryRegion,supplementaryPriorityCountryRegion,numberOfInventors,IPC,numberOfClaims,numberOfPagesOfDocuments,numberOfCitedPatents,numberOfPatentsCitedBy,numberOfNonPatentLiteratureCitations,patsnapFamilyPatentApplicationNumber,patSnapFamilyCitedPatentTotal,numberOfCitationsWithin3Years,numberOfCitationsWithin5Years,inpadocFamilyPatentApplicationNumber,simpleFamilyCitedPatentTotal,currentNumberOfApplicantsPatentees,simpleFamilyPatentApplicationNumber,legalStatusEvent,patentType
CN217538667U,2021/5/31,2022/10/4,-,CN,15,E21B43/22 | E21B43/12,9,7,0,0,0,1,0,0,0,1,0,2,1,授权,实用新型
CN110410068B,2019/8/5,2022/12/23,-,CN,21,E21B49/00,10,9,6,0,0,1,0,0,0,1,0,5,1,授权 | 权利转移,授权发明
CN218150871U,2022/3/9,2022/12/27,-,CN,6,E21B41/00 | E21B37/00,10,7,0,0,0,1,0,0,0,1,0,2,1,授权,实用新型
CN113073966B,2021/4/30,2022/12/27,-,CN,18,E21B43/26 | E21B43/10 | E21B43/11,7,8,6,0,0,1,3,0,0,1,3,2,1,授权,授权发明
CN109681196B,2018/12/5,2023/1/24,-,CN,12,E21B49/00 | E21B47/00 | E21B43/26,6,11,0,0,0,1,9,0,0,1,9,2,1,授权 | 权利转移,授权发明
CN109681184B,2018/12/5,2023/1/24,-,CN,12,E21B47/00 | E21B47/06,8,10,0,0,0,1,4,0,0,1,4,2,1,授权 | 权利转移,授权发明
CN112983363B,2021/3/29,2023/2/28,-,CN,18,E21B43/10 | E21B33/13 | E21B17/10 | E21B47/005,10,11,10,0,1,1,4,0,0,1,4,2,1,授权,授权发明
CN113404456B,2021/7/30,2023/2/28,-,CN,11,E21B29/00,9,14,9,0,4,1,0,0,0,1,0,2,1,授权,授权发明
CN110469321B,2019/8/5,2023/3/24,-,CN,21,E21B47/06 | E21B47/00 | G06Q50/02,5,9,1,0,0,1,0,0,0,1,0,5,1,授权 | 权利转移,授权发明
CN113266312B,2021/6/29,2023/4/7,-,CN,12,E21B41/00 | E21B43/11 | E21B33/134,7,23,0,0,0,1,1,0,0,1,1,2,1,授权,授权发明
CN112233235B,2020/10/16,2023/4/28,-,CN,12,G06T17/05 | G06F30/20 | E21B43/26 | G06F111/10,10,15,4,0,5,1,0,0,0,1,0,2,1,授权 | 权利转移,授权发明
CN219496978U,2022/12/7,2023/8/8,-,CN,6,G05G1/54,3,5,0,0,0,1,0,0,0,1,0,3,1,授权,实用新型
CN108761033A,2018/5/3,2018/11/6,-,CN,10,G01N33/24,10,34,11,2,1,1,2,2,2,1,2,1,1,授权,发明申请
CN106503284B,2016/9/12,2019/8/27,-,CN,9,G06F17/50 | G06Q50/02,2,7,2,0,5,1,5,0,0,1,5,5,1,授权 | 权利转移,授权发明
CN104459775B,2014/11/28,2017/2/22,-,CN,7,G01V1/28,5,12,3,1,4,1,44,0,1,1,44,2,1,授权 | 权利转移,授权发明
CN113266328A,2020/2/17,2021/8/17,-,CN,8,E21B43/26 | E21B49/00,10,14,7,0,4,1,0,0,0,1,0,1,1,实质审查,发明申请
CN109209333B,2018/10/10,2020/9/25,-,CN,7,E21B43/30 | E21B43/267 | E21B43/26 | E21B47/00 | G06Q50/02,4,13,4,0,0,1,12,0,0,1,12,1,1,授权,授权发明
CN105822298B,2016/4/25,2018/11/23,-,CN,14,E21B49/00 | E21B47/00 | G06Q10/04 | G06Q50/02,1,8,8,0,0,1,15,0,0,1,15,2,1,授权,授权发明
CN116771456A,2023/7/11,2023/9/19,-,CN,2,F01K27/00 | F02B43/10 | F02B63/04 | E21B43/00 | E21B43/34,10,11,0,0,0,1,0,0,0,1,0,1,1,实质审查,发明申请
CN106168685B,2015/9/8,2018/7/13,-,CN,10,G01V11/00,3,25,4,0,5,1,29,0,0,1,29,2,1,授权 | 权利转移,授权发明
CN108710765B,2018/5/23,2019/9/6,-,CN,6,G06F17/50 | E21B49/00,3,21,3,0,0,1,20,0,0,1,20,1,1,授权,授权发明
CN107701172B,2017/9/22,2020/7/24,-,CN,14,E21B47/00 | E21B43/26 | G06F17/18,2,8,6,0,0,1,6,0,0,1,6,2,1,授权,授权发明
CN108612508B,2018/4/24,2020/9/4,-,CN,2,E21B43/26 | E21B33/13 | C09K8/514 | C09K8/516,22,26,6,0,0,1,27,0,0,1,27,1,1,授权,授权发明
CN104462849B,2014/12/24,2017/6/6,-,CN,8,G06F19/00,4,10,7,0,2,1,7,0,0,1,7,1,1,未缴年费,授权发明
CN106285602B,2016/8/22,2019/4/19,-,CN,4,E21B43/26 | E21B43/16,8,9,8,0,0,1,6,0,0,1,6,1,1,授权,授权发明
CN110515124B,2019/8/15,2020/11/3,-,CN,12,G01V1/30 | G01V1/28,1,11,1,0,0,1,0,0,0,1,0,5,1,授权 | 权利转移,授权发明
CN103983536B,2014/6/6,2016/4/20,-,CN,1,G01N7/14,8,14,6,2,0,1,44,2,2,1,44,1,1,未缴年费,授权发明
CN103883322B,2014/4/16,2016/5/11,-,CN,4,E21B49/00 | G01V11/00,9,12,4,0,3,1,19,0,0,1,19,1,1,授权,授权发明
CN105866003B,2016/5/16,2019/5/17,-,CN,2,G01N15/08,5,14,5,0,1,1,4,0,0,1,4,1,1,未缴年费,授权发明
CN105952429B,2016/5/17,2018/11/20,-,CN,5,E21B43/26 | E21B43/267,10,15,10,0,0,1,36,0,0,1,36,1,1,未缴年费,授权发明
JP2018078669A,2016/11/7,2018/5/17,-,JP,2,H02J7/00 | H02J7/02 | H02J7/35 | H02J3/38 | H02J3/32 | H02J13/00 | G06Q50/06 | H01M10/48 | H01M10/44 | H01M10/42 | H01M10/615 | H01M10/627 | H01M10/613 | H01M10/6563 | H01M10/66 | H01M10/6568 | H01M10/6556 | H01M8/0612 | H01M8/04858 | H01M8/00,7,24,1,4,0,1,4,4,4,1,4,1,1,撤回-视为撤回,发明申请
CN107355206B,2017/8/31,2018/9/21,-,CN,5,E21B43/26 | E21B49/00,7,9,4,0,0,1,15,0,0,1,15,1,1,授权,授权发明
CN104594885B,2014/10/16,2017/5/17,-,CN,8,E21B49/00,2,9,9,2,0,1,26,2,2,1,26,1,1,授权,授权发明
CN104453875B,2014/10/29,2018/5/1,-,CN,7,E21B49/00 | G06F17/50,8,8,5,0,3,1,15,0,0,1,15,2,1,授权 | 权利转移,授权发明
CN109632567A,2018/4/11,2019/4/16,-,CN,10,G01N7/04 | G01N15/08,8,10,7,4,2,1,4,4,4,1,4,1,1,驳回,发明申请
CN105930604B,2016/4/29,2019/9/10,-,CN,1,G06F17/50 | G06Q50/02,8,13,4,1,3,1,17,1,1,1,17,1,1,授权,授权发明
CN109870720B,2019/1/25,2021/1/1,-,CN,6,G01V1/30,7,9,7,1,0,1,6,1,1,1,6,2,1,授权,授权发明
CN107247860A,2016/7/20,2017/10/13,-,CN,14,G06F17/50 | G06Q50/02 | E21B47/14,2,6,9,7,3,1,7,6,7,1,7,2,1,授权,发明申请
CN105782634B,2016/4/11,2018/3/27,-,CN,1,F16L55/168,5,9,8,0,0,1,2,0,0,1,2,1,1,未缴年费,授权发明
CN107247860B,2016/7/20,2020/8/7,-,CN,14,G06F30/20 | G06Q50/02 | E21B47/14,1,6,9,1,3,1,7,1,1,1,7,2,1,授权,授权发明
CN105808913B,2014/12/31,2018/7/31,-,CN,7,G06F19/00 | E21B49/00 | E21B49/08,8,27,3,0,7,1,10,0,0,1,10,1,1,授权,授权发明
CN105179823B,2015/9/29,2017/9/29,-,CN,1,F16L9/19 | F16L11/22 | H02J1/00,3,9,4,0,0,1,9,0,0,1,9,1,1,授权,授权发明
CN107091076B,2017/7/6,2019/4/12,-,CN,2,E21B43/243,9,6,5,0,0,1,4,0,0,1,4,1,1,授权,授权发明
CN105649547B,2016/4/11,2018/1/9,-,CN,1,E21B17/00 | F17D5/02,7,9,5,0,0,1,1,0,0,1,1,1,1,未缴年费,授权发明
CN106401570B,2015/7/30,2019/5/7,-,CN,9,E21B47/10 | E21B47/06 | E21B43/00 | G06F17/00,9,13,10,0,2,1,9,0,0,1,9,2,1,授权,授权发明
CN104389594B,2014/10/13,2017/6/16,-,CN,8,E21B49/00 | G06F19/00,2,11,7,0,0,1,54,0,0,1,54,1,1,授权,授权发明
CN108760602A,2018/5/30,2018/11/6,-,CN,6,G01N15/08,3,7,9,3,0,2,4,2,2,1,3,1,1,实质审查 | 一案双申,发明申请
CN106168565A,2015/7/17,2016/11/30,-,CN,6,G01N7/00,9,18,9,14,3,2,22,6,12,1,14,1,1,驳回 | 一案双申,发明申请
CN105782569B,2016/4/11,2018/10/16,-,CN,1,F16L3/02 | F17D5/02 | F16F15/04,6,9,7,0,0,1,2,0,0,1,2,1,1,未缴年费,授权发明
CN107422100B,2017/9/5,2019/9/3,-,CN,2,G01N33/24,1,12,4,0,0,1,10,0,0,1,10,1,1,授权,授权发明
CN107143330B,2017/5/25,2020/6/23,-,CN,12,E21B49/00,6,8,5,0,1,1,13,0,0,1,13,2,1,授权,授权发明
CN105507859B,2015/11/24,2018/8/24,-,CN,8,E21B43/16 | E21B43/27,2,5,4,0,2,1,9,0,0,1,9,1,1,授权,授权发明
CN104267199B,2014/9/11,2016/4/27,-,CN,4,G01N35/00 | G01N21/3504 | G06F17/30,6,8,3,0,0,1,13,0,0,1,13,1,1,授权,授权发明
CN108975535B,2018/7/27,2019/5/28,-,CN,7,C02F9/02 | C02F103/10,8,31,6,0,0,1,3,0,0,1,3,2,1,授权,授权发明
CN108756834B,2018/5/28,2020/3/31,-,CN,4,E21B43/12 | E21B47/06 | E21B47/00,5,15,6,0,0,1,1,0,0,1,1,1,1,授权,授权发明
CN105621809B,2016/2/19,2018/9/14,-,CN,4,C02F9/14 | C02F11/00 | C02F103/10,10,14,3,0,0,1,19,0,0,1,19,1,1,授权 | 诉讼 | 权利转移,授权发明
CN105370270B,2015/11/6,2018/4/10,-,CN,9,E21B49/00,4,9,6,0,2,1,11,0,0,1,11,3,1,授权 | 权利转移,授权发明
CN108180008A,2017/12/27,2018/6/19,-,CN,8,E21B47/00 | G06Q50/02,10,15,8,5,0,1,5,5,5,1,5,2,1,授权 | 权利转移,发明申请
CN111948093A,2019/5/15,2020/11/17,-,CN,4,G01N7/14 | G01M3/26,15,26,6,4,2,1,4,4,4,1,4,1,1,实质审查,发明申请
CN208224040U,2018/5/30,2018/12/11,-,CN,6,G01N15/08,2,7,0,1,0,2,4,0,0,1,1,1,1,授权 | 一案双申,实用新型
CN105804716B,2016/5/12,2019/5/17,-,CN,3,E21B43/263 | E21B43/30 | E21B21/00,5,11,10,0,0,1,6,0,0,1,6,1,1,未缴年费,授权发明
CN106056252B,2016/6/13,2020/7/31,-,CN,6,G06Q10/04 | G06Q50/06,3,12,3,0,3,1,14,0,0,1,14,1,1,授权,授权发明
CN110320562B,2018/3/30,2020/11/13,-,CN,10,G01V1/50,7,13,4,0,2,1,3,0,0,1,3,2,1,授权,授权发明
RO129243A0,2013/8/8,2014/2/28,-,RO,1,E21B43/11 | E21B43/112,3,11,0,0,0,1,0,0,0,1,0,1,1,-,发明申请
RO129243B1,2013/8/8,2020/1/30,-,RO,1,E21B43/11,3,10,3,0,0,1,0,0,0,1,0,1,1,-,授权发明
RO130518A2,2014/1/16,2015/8/28,-,RO,1,E21B43/11 | E21B43/26,2,14,0,0,0,1,0,0,0,1,0,1,1,-,发明申请
RO130518B1,2014/1/16,2020/1/30,-,RO,1,E21B43/11 | E21B43/26,2,12,4,0,0,1,0,0,0,1,0,1,1,-,授权发明
CN107461192A,2017/6/1,2017/12/12,-,CN,4,E21B49/00,7,14,5,33,1,1,33,29,33,1,33,1,1,授权,发明申请
CN107461192B,2017/6/1,2020/3/31,-,CN,4,E21B49/00,5,14,5,0,1,1,33,0,0,1,33,1,1,授权,授权发明
CN108812184B,2018/4/20,2020/6/9,-,CN,9,A01G24/20 | A01G24/17,3,9,6,1,1,1,5,1,1,1,5,2,1,授权,授权发明
IN202211022001A,2022/4/12,2024/1/12,-,IN,2,B01J20/08 | B01J20/30 | A61B90/00 | H04W24/10 | B01J20/22,10,31,0,0,0,2,0,0,0,2,0,1,2,公开,发明申请
CN109887614A,2019/1/22,2019/6/14,-,CN,10,G16Z99/00,10,34,8,0,2,1,0,0,0,1,0,1,1,授权,发明申请
CN107153755B,2016/3/3,2020/5/15,-,CN,11,G06F30/20 | G06F111/10,5,11,5,0,2,1,6,0,0,1,6,3,1,授权,授权发明
CN107818189B,2016/9/14,2020/12/11,-,CN,8,G06F30/20 | G01V9/00,8,9,5,0,3,1,1,0,0,1,1,2,1,授权,授权发明
CN116306344A,2023/2/7,2023/6/23,-,CN,9,G06F30/28 | G06F119/14,10,10,0,0,0,1,0,0,0,1,0,1,1,实质审查,发明申请
CN105781513B,2016/3/7,2018/10/26,-,CN,4,E21B43/243,8,10,5,0,0,1,0,0,0,1,0,1,1,授权,授权发明
CN106484933B,2015/8/31,2019/6/18,-,CN,5,G06F17/50,6,20,4,2,0,1,59,2,2,1,59,2,1,授权,授权发明
CN106932836B,2015/12/30,2019/7/12,-,CN,8,G01V11/00 | E21B49/00 | E21B49/08,5,15,7,0,4,1,6,0,0,1,6,2,1,授权,授权发明
CN107575219B,2017/9/15,2020/8/7,-,CN,6,E21B49/00 | E21B47/06,3,7,8,0,0,1,7,0,0,1,7,2,1,授权,授权发明
CN105717202A,2016/1/29,2016/6/29,-,CN,7,G01N30/00,10,12,4,10,2,1,10,2,10,1,10,1,1,驳回,发明申请
CN109342264B,2018/12/6,2020/4/7,-,CN,7,G01N7/14 | G01N7/16,8,10,10,0,0,1,10,0,0,1,10,1,1,授权,授权发明
CN105240242A,2015/8/21,2016/1/13,-,CN,2,F04B35/00 | F04B39/12 | F04B39/10,9,17,3,0,0,1,0,0,0,1,0,1,1,驳回 | 权利转移,发明申请
CN107133373B,2016/2/29,2020/5/15,-,CN,10,G06F30/20 | E21B47/00 | E21B49/00,7,13,6,0,0,1,3,0,0,1,3,3,1,授权,授权发明
CN116413161A,2021/12/31,2023/7/11,-,CN,10,G01N7/16 | G01F22/02,11,11,2,0,0,1,0,0,0,1,0,1,1,实质审查,发明申请
CN109577939B,2018/12/25,2020/9/1,-,CN,11,E21B43/26 | E21B43/24,2,9,6,0,1,1,3,0,0,1,3,1,1,授权 | 许可,授权发明
CN107766662B,2017/10/26,2021/1/26,-,CN,10,G06F30/20 | G06Q10/06 | G06Q50/02 | E21B49/00,3,10,6,0,0,1,16,0,0,1,16,2,1,授权,授权发明
CN107870368A,2016/9/26,2018/4/3,-,CN,4,G01V1/40 | G01V1/30,10,12,2,6,6,1,6,3,5,1,6,2,1,驳回,发明申请
CN109063296A,2018/7/23,2018/12/21,-,CN,5,G06F17/50 | E21B49/00,6,6,8,4,2,1,4,3,4,1,4,2,1,授权,发明申请
CN108150146B,2018/1/30,2019/6/18,-,CN,1,E21B43/24 | E21B17/00 | F22B1/00 | F24S10/30 | F24S60/10,5,12,11,0,0,2,6,0,0,1,4,1,1,授权 | 一案双申,授权发明
CN106290103B,2015/6/12,2020/10/23,-,CN,8,G01N15/08,6,11,4,0,4,1,7,0,0,1,7,2,1,授权,授权发明
CN104675367B,2015/1/4,2016/2/17,-,CN,2,E21B43/00 | F04B39/00 | F04B39/12,7,19,5,0,0,1,3,0,0,1,3,2,1,未缴年费,授权发明
CN104807681B,2014/1/24,2019/7/16,-,CN,4,G01N1/28,4,8,9,0,0,1,3,0,0,1,3,1,1,未缴年费,授权发明
CN105782725B,2016/4/11,2017/12/8,-,CN,1,F17D5/00 | F17D5/02,8,9,10,0,0,1,2,0,0,1,2,1,1,未缴年费,授权发明
CN105842417A,2016/3/17,2016/8/10,-,CN,3,G01N33/24 | G01N31/16,5,5,5,2,0,1,2,1,2,1,2,1,1,驳回,发明申请
CN107542443B,2016/6/29,2019/11/29,-,CN,9,E21B43/26 | E21B49/00,10,8,5,0,0,1,8,0,0,1,8,2,1,授权,授权发明
CN108822825B,2018/6/6,2021/1/1,-,CN,8,C09K8/68,5,7,7,0,1,1,5,0,0,1,5,2,1,授权 | 权利转移,授权发明
CN115061202A,2022/6/10,2022/9/16,-,CN,3,G01V1/30 | G01V1/28,7,20,7,0,3,1,0,0,0,1,0,1,1,实质审查,发明申请
CN105700013B,2016/4/26,2018/6/22,-,CN,7,G01V1/28,8,12,3,0,2,1,9,0,0,1,9,2,1,授权 | 权利转移,授权发明
CN109596813B,2019/1/7,2020/5/19,-,CN,4,G01N33/24,6,14,3,0,0,1,0,0,0,1,0,1,1,未缴年费,授权发明
CN107314241B,2016/6/12,2019/5/7,-,CN,5,F17D1/02 | F17D3/01,1,6,8,0,0,1,3,0,0,1,3,2,1,授权,授权发明
CN102777155B,2011/5/13,2015/10/21,-,CN,9,E21B43/14 | E21B43/26 | E21B33/10 | E21B33/13 | E21B29/00,2,9,3,0,1,1,17,0,0,1,17,2,1,授权,授权发明
CN103912269B,2014/3/28,2017/4/12,-,CN,9,E21B49/00,3,7,5,0,1,1,22,0,0,1,22,3,1,授权 | 权利转移,授权发明
CN103924955B,2014/4/21,2017/10/13,-,CN,13,E21B43/26 | E21B43/267 | E21B43/27,5,8,3,2,0,1,54,0,2,1,54,1,1,授权,授权发明
CN108104784B,2018/1/30,2019/6/14,-,CN,1,E21B43/24 | E21B17/00,4,12,8,0,0,2,13,0,0,1,3,1,1,授权 | 一案双申,授权发明
CN107589236B,2017/9/14,2020/5/19,-,CN,15,G01N33/24 | G01V9/00,4,13,3,0,0,1,7,0,0,1,7,1,1,未缴年费,授权发明
CN109033541B,2018/7/2,2020/7/28,-,CN,6,G06F30/00,6,9,8,0,0,1,8,0,0,1,8,1,1,授权,授权发明
CN204855296U,2015/7/17,2015/12/9,-,CN,6,G01N7/00,6,16,0,10,0,2,22,4,5,1,10,1,1,授权 | 一案双申,实用新型
CN105350948B,2014/8/22,2019/1/1,-,CN,7,E21B43/26 | E21B7/04,7,6,8,0,0,1,9,0,0,1,9,2,1,授权,授权发明
CN107701179B,2017/9/15,2020/7/31,-,CN,10,E21B49/00 | E21B47/00,1,7,7,0,1,1,10,0,0,1,10,5,1,授权 | 权利转移,授权发明
CN115640660A,2021/7/19,2023/1/24,-,CN,10,G06F30/18 | G06F30/28 | G06F16/29 | G06Q50/06 | G06F111/10 | G06F113/14 | G06F113/08 | G06F119/08 | G06F119/14,10,22,0,0,0,1,0,0,0,1,0,1,1,实质审查,发明申请
DE602013033653T2,2013/11/20,2018/2/28,-,DE,1,C07C2/80 | C01B3/38 | H01M8/124 | H01M8/04089 | H01M8/0612 | C07C2/76 | H01M8/0637 | H01M8/12 | H01M8/0662 | H01M8/0606,16,17,0,0,0,12,10,0,0,12,10,1,12,授权,授权发明
BR112014001445A2,2012/7/20,2017/2/21,EP,EP,1,C02F1/04 | C02F1/26 | C02F1/20 | C02F1/12 | C02F1/16 | C02F1/28 | C02F101/32 | C02F101/34 | C02F103/36 | C02F103/10,26,21,0,0,0,8,8,0,0,8,8,1,8,撤回-未指定类型,发明申请
MY170271A,2013/2/19,2019/7/16,US,US,1,-,该数据不支持导出,27,0,0,0,86,92,0,0,86,0,1,17,授权,授权发明
MY173980A,2014/4/15,2020/3/2,US,US,4,-,该数据不支持导出,22,0,0,0,86,92,0,0,86,9,1,12,授权,授权发明
MYPI2015002550A0,2014/4/15,2014/10/15,US,US,4,-,该数据不支持导出,22,0,0,0,86,92,0,0,86,9,1,12,授权,发明申请
MYPI2015000847A0,2013/2/19,2014/5/16,US,US,1,-,该数据不支持导出,27,0,0,0,86,92,0,0,86,0,1,17,授权,发明申请
PL3058344T3,2014/10/13,2021/6/28,US | WO,US | WO,1,G01N21/39 | G01N1/40 | G01N15/02 | G01N15/06 | G01N21/27 | G01N21/359 | G01N21/59 | G01N33/28,15,15,0,0,0,10,10,0,0,10,10,1,10,-,授权发明
HUE053714T2,2014/10/13,2021/7/28,US,US,1,G01N21/39 | G01N1/40 | G01N15/02 | G01N15/06 | G01N21/27 | G01N21/59 | G01N33/28,15,15,0,0,0,10,10,0,0,10,10,1,10,授权,授权发明
DE602014075216T2,2014/10/13,2021/2/24,US,US,1,G01N21/39 | G01N21/359 | G01N15/06 | G01N15/02 | G01N33/28 | G01N21/59 | G01N21/27 | G01N1/40,15,15,0,0,0,10,10,0,0,10,10,1,10,授权,授权发明
AT1365099T,2014/10/13,2021/3/15,US,US,1,G01N21/39,15,25,0,0,0,10,10,0,0,10,10,1,10,放弃-视为放弃,授权发明
IN201827012506A,2018/4/2,2018/6/1,EP,EP,1,C30B7/08 | C30B29/54 | B01D9/00,该数据不支持导出,32,0,0,0,8,10,0,0,8,10,1,8,驳回,发明申请
MY162747A,2010/12/16,2017/7/14,GB,GB,1,C10L3/08 | C10L3/10,该数据不支持导出,26,3,0,0,16,74,0,0,16,74,1,16,权利终止,授权发明
DE602010029252T2,2010/12/16,2015/11/25,-,DE,1,C10L3/08 | C10L3/10,14,18,0,0,0,16,74,0,0,16,74,1,16,未缴年费,授权发明
MYPI2012003020A0,2010/12/16,2011/7/5,GB,GB,1,C10L3/08 | C10L3/10,该数据不支持导出,26,0,0,0,16,74,0,0,16,74,1,16,权利终止,发明申请
NO2521761B1,2010/12/16,2012/11/14,GB,GB,1,C10L3/08 | C10L3/10,14,5,0,0,4,16,74,0,0,16,74,1,16,未缴年费,授权发明
MY178350A,2014/12/3,2020/10/8,FR,FR,6,B01D53/40 | B01D53/64 | B01D53/75 | C22B43/00,该数据不支持导出,47,0,0,0,4,0,0,0,4,0,1,4,授权,授权发明
BR112013025234A2,2012/3/30,2016/12/27,GB,GB,1,C01B3/36 | C10G2/00,34,24,0,0,0,11,23,0,0,11,23,1,11,撤回-未指定类型,发明申请
MY170362A,2012/3/30,2019/7/24,GB,GB,1,-,该数据不支持导出,24,0,0,0,11,23,0,0,11,23,1,11,未缴年费,授权发明
MYPI2013003564A0,2012/3/30,2012/10/1,GB,GB,1,-,该数据不支持导出,24,0,0,0,11,23,0,0,11,23,1,11,未缴年费,发明申请
AT1090999T,2012/3/30,2019/2/15,GB,GB,1,B01J12/00,34,24,0,0,0,11,23,0,0,11,23,1,11,放弃-视为放弃,授权发明
KR101826132B1,2016/11/1,2018/3/22,-,KR,2,G01N23/207 | E21B49/08 | G01N33/24,10,10,0,5,0,3,14,5,5,3,14,1,3,授权,授权发明
CN108171376A,2017/12/27,2018/6/15,-,CN,6,G06Q10/04 | G06Q50/06,10,19,5,2,0,1,7,0,2,1,7,2,1,授权 | 权利转移,发明申请
CN105507890B,2014/9/26,2019/8/16,-,CN,8,E21B49/00,8,17,4,0,4,1,21,0,0,1,21,2,1,授权,授权发明
CN108171376B,2017/12/27,2020/9/18,-,CN,6,G06F30/20,10,20,5,5,0,1,7,5,5,1,7,2,1,授权 | 权利转移,授权发明
CN218620556U,2022/12/14,2023/3/14,-,CN,2,C02F9/00 | C02F1/44 | C02F1/28 | C02F103/10,10,9,0,0,0,1,0,0,0,1,0,1,1,授权,实用新型
CN116291352A,2023/3/6,2023/6/23,-,CN,4,E21B43/26 | E21B47/00,10,23,0,0,0,1,0,0,0,1,0,1,1,实质审查,发明申请
CN104481486B,2014/11/5,2017/3/1,-,CN,11,E21B43/26 | C02F3/28 | C02F3/34 | C02F9/14 | C02F103/10,5,8,14,0,3,1,3,0,0,1,3,2,1,授权 | 权利转移,授权发明
CN105484713B,2015/12/25,2018/8/14,-,CN,7,E21B43/16 | E21B49/00,9,16,7,0,0,1,4,0,0,1,4,1,1,授权,授权发明
CN109339745B,2018/11/28,2020/6/2,-,CN,1,E21B43/00 | E21B43/26 | E21B49/00,2,15,7,0,0,1,2,0,0,1,2,1,1,授权,授权发明
CN113309519A,2021/6/25,2021/8/27,-,CN,3,E21C37/14 | E21F17/18 | E21F17/00,5,15,6,2,0,1,2,2,2,1,2,1,1,授权,发明申请
CN106246155B,2016/10/29,2018/10/19,-,CN,3,E21B43/26,2,5,5,0,0,1,1,0,0,1,1,1,1,未缴年费,授权发明
CN111980695B,2020/9/16,2021/3/12,-,CN,5,E21B49/00 | G06F30/20,7,26,4,0,0,1,10,0,0,1,10,1,1,授权,授权发明
CN104977618B,2014/4/9,2017/9/22,-,CN,9,G01V1/50,19,15,4,2,3,1,118,2,2,1,118,1,1,授权,授权发明
CN108049856B,2018/1/30,2019/6/14,-,CN,1,E21B43/24,7,12,8,0,0,2,5,0,0,1,3,1,1,授权 | 一案双申,授权发明
CN214997604U,2021/7/15,2021/12/3,-,CN,7,E21B43/34 | C10L3/10 | B01D53/26,6,8,0,0,0,1,0,0,0,1,0,1,1,授权,实用新型
CN106988740B,2017/6/12,2020/4/21,-,CN,6,E21B49/00,5,12,5,0,2,1,13,0,0,1,13,1,1,授权 | 权利转移,授权发明
CN114718556A,2021/3/31,2022/7/8,-,CN,11,E21B49/00 | E21B47/00 | G06F30/20 | G06Q50/02,10,40,0,1,0,1,1,1,1,1,1,1,1,实质审查,发明申请
CN219888033U,2023/4/23,2023/10/24,-,CN,4,E21B43/34,6,17,0,0,0,1,0,0,0,1,0,1,1,授权,实用新型
CN105484717A,2015/11/24,2016/4/13,-,CN,8,E21B43/25,5,6,6,16,2,1,16,6,9,1,16,1,1,授权,发明申请
CN105484717B,2015/11/24,2018/5/18,-,CN,8,E21B43/25,5,7,6,1,1,1,16,0,1,1,16,1,1,授权,授权发明
CN115077997A,2021/3/16,2022/9/20,-,CN,10,G01N1/14,10,8,2,0,0,1,0,0,0,1,0,1,1,实质审查,发明申请
CN104199121B,2014/8/15,2018/8/10,-,CN,5,G01V9/00,1,14,4,0,0,1,33,0,0,1,33,2,1,授权,授权发明
CN116696312A,2023/4/23,2023/9/5,-,CN,4,E21B43/34,10,21,0,0,0,1,0,0,0,1,0,1,1,实质审查,发明申请
CN104656157B,2015/2/13,2017/4/5,-,CN,3,G01V3/38,8,14,5,0,4,1,16,0,0,1,16,1,1,授权,授权发明
CN205388590U,2016/1/26,2016/7/20,-,CN,3,G01N30/06 | G01N30/88,5,6,0,6,0,1,6,3,5,1,6,1,1,授权,实用新型
CN108240952A,2016/12/24,2018/7/3,-,CN,16,G01N15/08 | G01N33/24,5,16,10,9,1,1,9,9,9,1,9,3,1,撤回-视为撤回,发明申请
CN108694254A,2017/4/6,2018/10/23,-,CN,5,G06F17/50 | G06Q10/04 | G06Q50/06,10,14,5,16,2,1,16,12,16,1,16,2,1,授权,发明申请
CN109488274B,2018/11/29,2020/10/16,-,CN,6,E21B43/26 | E21B43/30,1,10,6,0,0,1,7,0,0,1,7,1,1,授权,授权发明
CN104558404B,2013/10/28,2017/1/25,-,CN,5,C08F220/56 | C08F220/58 | C08F220/06 | C08F212/14 | C08F228/02 | C08F226/02 | C09K8/68,8,8,7,2,0,1,10,0,0,1,10,2,1,授权,授权发明
CN110107273B,2019/6/19,2020/4/3,-,CN,6,E21B43/26 | E21B49/00 | E21B47/00,7,10,8,0,0,1,2,0,0,1,2,1,1,授权,授权发明
CN211716251U,2020/1/14,2020/10/20,-,CN,5,F17D1/08 | F17D3/01 | E04H5/02 | F04D13/04 | F04D15/00 | E21B43/26,10,6,0,0,0,1,0,0,0,1,0,1,1,授权,实用新型
CN114214098A,2022/1/14,2022/3/22,-,CN,3,C10L3/10,8,11,4,1,0,1,1,1,1,1,1,1,1,驳回,发明申请
CN114608958A,2022/2/25,2022/6/10,-,CN,7,G01N3/12 | G01N3/04 | G01N3/02,10,11,0,0,0,1,0,0,0,1,0,1,1,实质审查,发明申请
CN104156593A,2014/8/8,2014/11/19,-,CN,7,G06F19/00,3,29,4,17,2,1,17,5,8,1,17,1,1,未缴年费,发明申请
